journal	IF2023	quartile2023
PEDIATR CLIN NORTH AM	2.1	Q2
PEDIATR CRIT CARE MED	4	Q1
PEDIATR DENT	1.5	Q2
PEDIATR DENT J	0.6	Q4
PEDIATR DERMATOL	1.2	Q3
PEDIATR DEV PATHOL	1.3	Q3
PEDIATR DIABETES	3.9	Q1
PEDIATR EMERG CARE	1.2	Q3
PEDIATR EXERC SCI	1.4	Q3
PEDIATR GASTROENTEROL HEPATOL NUTR	1.3	Q3
PEDIATR HEMATOL ONCOL	1.2	Q3
PEDIATR INFECT DIS J	2.9	Q1
PEDIATR INT	1	Q3
PEDIATR INVESTIG	1.9	Q2
PEDIATR NEONATOL	2.3	Q2
PEDIATR NEPHROL	2.6	Q2
PEDIATR NEUROL	3.2	Q1
PEDIATR NEUROSURG	0.9	Q3
PEDIATR OBES	2.7	Q1
PEDIATR PHYS THER	1.3	Q3
PEDIATR PULMONOL	2.7	Q2
PEDIATR QUAL SAF	1.2	Q3
PEDIATR RADIOL	2.1	Q2
PEDIATR REP	1.4	Q3
PEDIATR RES	3.1	Q1
PEDIATR REV	1.2	Q3
PEDIATR RHEUMATOL ONLINE J	2.8	Q2
PEDIATR SURG INT	1.5	Q3
PEDIATR TRANSPLANT	1.2	Q3
PEDIATRIC HEALTH MED THER	1.7	Q2
PEDIATRICS	6.2	Q1
PEDOBIOLOGIA (JENA)	2	Q3
PEDOSPHERE	5.2	Q1
PEER PEER NETW APPL	3.3	Q2
PEERJ	2.3	Q2
PEERJ COMPUT SCI	3.5	Q1
PEOPLE NAT (HOBOKEN)	4.2	Q1
PEPT SCI (HOBOKEN)	1.5	Q4
PEPTIDES	2.8	Q2
PER MED	1.7	Q3
PERCEPT MOT SKILLS	1.4	Q4
PERCEPTION	1.6	Q3
PERF LATINOAM	0.3	Q3
PERFORM ENHANC HEALTH	2.9	Q2
PERFORM RES	0.1	NA
PERFUSION	1.1	Q4
PERIOD BIOL	0.2	Q4
PERIOD MATH HUNG	0.6	Q4
PERIODONTOL 2000	17.5	Q1
PERIOPER MED (LOND)	2	Q2
PERIT DIAL INT	2.7	Q2
PERMAFR PERIGLAC PROCESS	3	Q1
PERS INDIVID DIF	3.5	Q1
PERS PSYCHOL	4.7	Q1
PERS RELATSH	1.8	Q3
PERS SOC PSYCHOL BULL	3.4	Q1
PERS SOC PSYCHOL REV	7.7	Q1
PERSONAL DISORD	3	Q1
PERSONAL MENT HEALTH	2	Q3
PERSOONIA	9.5	Q1
PERSPECT BEHAV SCI	2.5	Q2
PERSPECT BIOL MED	0.8	Q4
PERSPECT ECOL CONSERV	4	Q1
PERSPECT MED EDUC	4.8	Q1
PERSPECT PLANT ECOL EVOL SYST	3.5	Q1
PERSPECT PSYCHIATR CARE	1.9	Q3
PERSPECT PSYCHOL SCI	10.5	Q1
PERSPECT PUBLIC HEALTH	3.5	Q1
PERSPECT PUBLIC MANAG GOV	2.7	Q2
PERSPECT SCI CHRIST FAITH	0.2	NA
PERSPECT SEX REPROD HEALTH	3.4	Q1
PERVASIVE MOB COMPUT	3	Q2
PESQUI AGROPECU BRAS	0.7	Q3
PESQUI BRAS ODONTOPEDIATRIA CLIN INTEGR	0.4	Q4
PEST MANAG SCI	3.8	Q1
PESTIC BIOCHEM PHYSIOL	4.2	Q1
PET CLIN	3	Q2
PET SCI	6	Q1
PET SCI TECHNOL	1.3	Q3
PFLEGE	0.8	Q4
PFLUGERS ARCH	2.9	Q2
PHAGE (NEW ROCHELLE)	3.5	Q2
PHARM BIOL	3.9	Q1
PHARM CHEM J	0.8	Q4
PHARM DEV TECHNOL	2.6	Q2
PHARM PAT ANAL	1.8	Q3
PHARM PRACT (GRANADA)	2.4	Q3
PHARM RES	3.5	Q2
PHARM STAT	1.3	Q2
PHARMACEUT MED	3.1	Q2
PHARMACEUTICALS (BASEL)	4.3	Q1
PHARMACEUTICS	4.9	Q1
PHARMACOECON OPEN	2	Q3
PHARMACOECONOMICS	4.4	Q1
PHARMACOEPIDEMIOL DRUG SAF	2.4	Q2
PHARMACOGENET GENOMICS	1.7	Q3
PHARMACOGENOMICS	1.9	Q3
PHARMACOGENOMICS J	2.9	Q2
PHARMACOGN MAG	0.6	Q4
PHARMACOGNOSY RES	0.7	Q4
PHARMACOL BIOCHEM BEHAV	3.3	Q2
PHARMACOL REP	3.6	Q2
PHARMACOL RES	9.1	Q1
PHARMACOL RES PERSPECT	2.9	Q2
PHARMACOL REV	19.3	Q1
PHARMACOL THER	12	Q1
PHARMACOLOGY	2.9	Q2
PHARMACOPSYCHIATRY	3.6	Q1
PHARMACOTHERAPY	2.9	Q2
PHARMACY (BASEL)	2	Q3
PHARMANUTRITION	2.4	Q3
PHARMAZIE	1.5	Q3
PHARMGENOMICS PERS MED	1.8	Q3
PHENOMENOL COGN SCI	2	NA
PHENOMICS	3.7	Q2
PHI DELTA KAPPAN	1.3	Q2
PHILOLOGUS	0.1	NA
PHILOS COMPASS	2.1	NA
PHILOS EAST WEST	0.4	NA
PHILOS ETHICS HUMANIT MED	1.7	NA
PHILOS EXPLOR	0.9	NA
PHILOS FORUM	0.3	NA
PHILOS MAG (ABINGDON)	1.5	Q3
PHILOS MAG LETT	1.2	Q4
PHILOS MANAG	1	Q4
PHILOS PHENOMENOL RES	1.3	NA
PHILOS PSYCHIATR PSYCHOL	2.6	NA
PHILOS PSYCHOL	1.4	Q3
PHILOS PUBLIC AFF	3.3	Q1
PHILOS Q	1.1	NA
PHILOS REV	2.8	NA
PHILOS SCI	1.4	Q1
PHILOS SOC CRIT	0.6	NA
PHILOS SOC SCI	0.6	NA
PHILOS TRANS A MATH PHYS ENG SCI	4.3	Q1
PHILOS TRANS R SOC LOND B BIOL SCI	5.4	Q1
PHILOSOPHIA (RAMAT GAN)	0.5	NA
PHILOSOPHY	0.8	NA
PHLEBOLOGY	1.6	Q3
PHLEBOLYMPHOLOGY	0.2	Q4
PHONETICA	1.1	Q2
PHONOLOGY	0.7	Q3
PHOSPHORUS SULFUR SILICON RELAT ELEM	1.4	Q3
PHOTOACOUSTICS	7.1	Q1
PHOTOBIOMODUL PHOTOMED LASER SURG	1.8	Q2
PHOTOCHEM PHOTOBIOL	2.6	Q3
PHOTOCHEM PHOTOBIOL SCI	2.7	Q3
PHOTODERMATOL PHOTOIMMUNOL PHOTOMED	2.5	Q2
PHOTODIAGNOSIS PHOTODYN THER	3.1	Q2
PHOTOGRAMM ENG REMOTE SENSING	1	Q4
PHOTOGRAMM REC	2.1	Q3
PHOTONICS	2.1	Q2
PHOTONICS LETT POL	0.5	Q4
PHOTONICS NANOSTRUCT	2.5	Q2
PHOTONICS RES	6.6	Q1
PHOTONIX	15.7	Q1
PHOTOSYNTH RES	2.9	Q2
PHOTOSYNTHETICA	2.1	Q2
PHRONESIS	0.4	NA
PHYS BIOL	2	Q3
PHYS CHEM CHEM PHYS	2.9	Q1
PHYS CHEM EARTH (2002)	3	Q2
PHYS CHEM LIQUIDS	1.2	Q4
PHYS CHEM MINER	1.2	Q3
PHYS EDUC SPORT PEDAGOGY	2.9	Q1
PHYS ENG SCI MED	2.4	Q2
PHYS FLUIDS (1994)	4.1	Q1
PHYS GEOGR	1.1	Q4
PHYS IMAGING RADIAT ONCOL	3.4	Q1
PHYS LETT A	2.3	Q2
PHYS LETT B	4.3	Q1
PHYS LIFE REV	13.7	Q1
PHYS MED	3.3	Q1
PHYS MED BIOL	3.3	Q1
PHYS MED REHABIL CLIN N AM	1.1	Q3
PHYS OCCUP THER PEDIATR	1.5	Q3
PHYS PERSPECT	0.1	Q4
PHYS PLASMAS	2	Q3
PHYS REP	23.9	Q1
PHYS REV A (COLL PARK)	2.6	Q2
PHYS REV APPL	3.8	Q2
PHYS REV B	3.2	Q2
PHYS REV C	3.2	Q2
PHYS REV D	4.6	Q1
PHYS REV E	2.2	Q1
PHYS REV FLUIDS	2.5	Q2
PHYS REV LETT	8.1	Q1
PHYS REV MATER	3.1	Q2
PHYS REV PHYS EDUC RES	2.6	Q1
PHYS REV RES	3.5	Q1
PHYS REV X	11.6	Q1
PHYS SCR	2.6	Q2
PHYS SPORTSMED	1.9	Q2
PHYS STATUS SOLIDI A APPL MATER SCI	1.9	Q3
PHYS STATUS SOLIDI B BASIC SOLID STATE PHYS	1.5	Q3
PHYS STATUS SOLIDI RAPID RES LETT	2.5	Q3
PHYS TEACH	0.5	Q4
PHYS THER	3.5	Q1
PHYS THER REV	0.8	Q4
PHYS THER SPORT	2.2	Q2
PHYSICA B CONDENS MATTER	2.8	Q2
PHYSICA C SUPERCOND	1.3	Q4
PHYSICA D	2.7	Q2
PHYSICA E LOW DIMENS SYST NANOSTRUCT	2.9	Q2
PHYSICIAN ASSIST CLIN	0.1	Q4
PHYSIOL BEHAV	2.4	Q2
PHYSIOL BIOCHEM ZOOL	1.8	Q1
PHYSIOL ENTOMOL	1.6	Q2
PHYSIOL GENOMICS	2.5	Q2
PHYSIOL INT	2.2	Q3
PHYSIOL MEAS	2.3	Q3
PHYSIOL MOL BIOL PLANTS	3.4	Q1
PHYSIOL MOL PLANT PATHOL	2.8	Q2
PHYSIOL PLANT	5.4	Q1
PHYSIOL REP	2.2	Q3
PHYSIOL RES	1.9	Q3
PHYSIOL REV	29.9	Q1
PHYSIOLOGY (BETHESDA)	5.3	Q1
PHYSIOTHER CAN	0.9	Q4
PHYSIOTHER PRACT RES	0.3	Q4
PHYSIOTHER RES INT	1.5	Q3
PHYSIOTHER THEORY PRACT	1.6	Q2
PHYSIOTHERAPY	3.1	Q1
PHYTOBIOMES J	3.3	Q1
PHYTOCHEM ANAL	3	Q2
PHYTOCHEM LETT	1.3	Q3
PHYTOCHEM REV	7.3	Q1
PHYTOCHEMISTRY	3.2	Q2
PHYTOKEYS	1.3	Q3
PHYTOMEDICINE	6.7	Q1
PHYTON	0.1	Q4
PHYTON (B AIRES)	1.3	Q3
PHYTOPARASITICA	1.5	Q3
PHYTOPATHOL MEDITERR	1.9	Q2
PHYTOPATHOL RES	3.2	Q2
PHYTOPATHOLOGY	2.6	Q2
PHYTOTAXA	1	Q3
PHYTOTHER RES	6.1	Q1
PIGMENT CELL MELANOMA RES	3.9	Q2
PILOT FEASIBILITY STUD	1.5	Q3
PITUITARY	3.3	Q2
PLACENTA	3	Q2
PLAN PERSPECT	0.8	Q2
PLAN PRACT RES	2	Q3
PLAN THEORY	3.4	Q1
PLAN THEORY PRACT	3.4	Q1
PLANET SCI J	3.8	Q2
PLANT BIOL (STUTTG)	4.2	Q1
PLANT BIOSYST	1.6	Q3
PLANT BIOTECHNOL (TOKYO)	1.4	Q3
PLANT BIOTECHNOL J	10.1	Q1
PLANT BIOTECHNOL REP	1.7	Q2
PLANT BREED	1.5	Q3
PLANT CELL	10	Q1
PLANT CELL ENVIRON	6	Q1
PLANT CELL PHYSIOL	3.9	Q1
PLANT CELL REP	5.3	Q1
PLANT CELL TISSUE ORGAN CULT	2.3	Q2
PLANT COMMUN	9.4	Q1
PLANT DIRECT	2.3	Q2
PLANT DIS	4.4	Q1
PLANT DIVERS	4.6	Q1
PLANT ECOL	1.9	Q2
PLANT ECOL DIVERS	1.7	Q2
PLANT FOODS HUM NUTR	3.1	Q2
PLANT GENE	2.2	Q2
PLANT GENOME	3.9	Q1
PLANT GROWTH REGUL	3.5	Q1
PLANT J	6.2	Q1
PLANT METHODS	4.7	Q1
PLANT MOL BIOL	3.9	Q1
PLANT MOL BIOL REPORT	1.6	Q3
PLANT PATHOL	2.3	Q2
PLANT PATHOL J	1.8	Q2
PLANT PHENOMICS	7.6	Q1
PLANT PHYSIOL	6.5	Q1
PLANT PHYSIOL BIOCHEM	6.1	Q1
PLANT PROD SCI	1.6	Q2
PLANT REPROD	2.9	Q2
PLANT SCI	4.2	Q1
PLANT SIGNAL BEHAV	2.8	Q2
PLANT SOIL	3.9	Q2
PLANT SYST EVOL	1.5	Q3
PLANTA	3.6	Q1
PLANTA MED	2.1	Q2
PLANTS (BASEL)	4	Q1
PLANTS PEOPLE PLANET	3.7	Q1
PLASMA PHYS CONTROL FUSION	2.1	Q2
PLASMA PROCESS POLYM	2.9	Q2
PLASMA SOURCES SCI TECHNOL	3.3	Q1
PLASMID	1.8	Q4
PLASMONICS	3.3	Q3
PLAST RECONSTR SURG	3.2	Q1
PLAST RECONSTR SURG GLOB OPEN	1.5	Q3
PLAST SURG (OAKV)	0.7	Q4
PLATELETS	2.5	Q2
PLEURA PERITONEUM	1.4	Q3
PLOS BIOL	7.8	Q1
PLOS COMPUT BIOL	3.8	Q1
PLOS GENET	4	Q1
PLOS MED	10.5	Q1
PLOS NEGL TROP DIS	3.4	Q1
PLOS ONE	2.9	Q1
PLOS PATHOG	5.5	Q1
PM R	2.2	Q2
PNAS NEXUS	2.2	Q1
PNEUMOLOGIE	1.2	Q4
PNEUMONIA (NATHAN)	8.5	Q1
POBLAC SALUD MESOAM	0.3	Q4
POETICS (AMST)	2	Q2
POL ARCH INTERN MED	3.8	Q1
POL J FOOD NUTR SCI	2.3	Q3
POL J MICROBIOL	2	Q4
POL J PATHOL	0.7	Q4
POL J RADIOL	0.9	Q4
POL J VET SCI	0.8	Q3
POL PRZEGL CHIR	0.6	Q4
POL PRZEGL RADIOL MED NUKL	0.9	Q4
POLAR BIOL	1.5	Q3
POLAR GEOGR (PALM BEACH)	2	Q3
POLAR J	0.8	Q3
POLAR REC (GR BRIT)	1.4	Q4
POLAR RES	1.9	Q2
POLICE PRACT RES	1.4	Q2
POLICE Q	2.9	Q1
POLICING	1.4	Q2
POLICING (OXF)	1.3	Q3
POLICING SOC	2	Q1
POLICY DES PRACT	3.1	Q1
POLICY INSIGHTS BEHAV BRAIN SCI	3.4	Q1
POLICY INTERNET	4.1	Q1
POLICY POLIT	4.3	Q1
POLICY POLIT NURS PRACT	2.1	Q2
POLICY SOC	5.7	Q1
POLICY STUD	2.2	Q2
POLICY STUD J	4.1	Q1
POLIMERY	1.1	Q4
POLIT ANAL	4.7	Q1
POLIT BEHAV	3.3	Q1
POLIT COMMUN	4.6	Q1
POLIT EKON	0.4	Q4
POLIT GEOGR	4.7	Q1
POLIT GROUPS IDENTITIES	1.8	Q2
POLIT LEG ANTHROPOL REV	1.4	Q2
POLIT PHILOS ECON	1.6	Q2
POLIT POLICY	1.4	Q2
POLIT PSYCHOL	4	Q1
POLIT Q	1.7	Q2
POLIT RES Q	1.5	Q2
POLIT SCI	1.2	Q3
POLIT SCI Q	0.8	Q3
POLIT SOC	4.1	Q1
POLIT STUD (OXF)	2.5	Q1
POLIT STUD REV	1.4	Q2
POLIT THEORY	1.3	Q2
POLIT VIERTELJAHRESSCHR	1.3	Q2
POLITICAL RES EXCH	1.8	Q2
POLITICAL SCI RES METHODS	2.5	Q1
POLITICS RELIG	1.3	NA
POLITY	1	Q3
POLYCYCL AROMAT COMPD	2.4	Q2
POLYHEDRON	2.4	Q2
POLYM ADV TECHNOL	3.1	Q2
POLYM BULL (BERL)	3.1	Q2
POLYM CHEM	4.1	Q2
POLYM COMPOS	4.8	Q1
POLYM CRYST	1.9	Q3
POLYM DEGRAD STAB	6.3	Q1
POLYM ENG SCI	3.2	Q2
POLYM INT	2.9	Q2
POLYM J	2.3	Q3
POLYM REV (PHILA PA)	11.1	Q1
POLYM SCI SER A CHEM PHYS	1	Q4
POLYM TEST	5	Q1
POLYMER (GUILDF)	4.1	Q2
POLYMERS (BASEL)	4.7	Q1
POPUL DEV REV	4.6	Q1
POPUL ECOL	1.1	Q4
POPUL ENVIRON	3.2	Q2
POPUL HEALTH MANAG	1.8	Q3
POPUL HEALTH METR	3.2	Q2
POPUL RES POLICY REV	2.6	Q1
POPUL REV	0.4	Q4
POPUL SPACE PLACE	2.6	Q1
POPUL STUD (CAMB)	2.5	Q1
POPULATION (PARIS)	1.5	Q2
PORCINE HEALTH MANAG	3	Q1
POSITIONS (DURH N C)	0.4	NA
POSITIVITY (DORDR)	0.8	Q2
POST SOV AFF	2.5	Q1
POSTCOLONIAL STUD	1.2	Q1
POSTCOMMUNIST ECON	2.2	Q2
POSTEP PSYCHIATR NEUROL	0.7	Q4
POSTEPY DERMATOL ALERGOL	1.4	Q3
POSTEPY HIG MED DOSW	0.2	Q4
POSTEPY HIG MED DOSW (ONLINE)	0.2	Q4
POSTEPY KARDIOL INTERWENCYJNEJ	1.5	Q3
POSTGRAD MED	2.6	Q1
POSTGRAD MED J	3.6	Q1
POSTMEDIEV ARCHAEOL	0.4	NA
POSTMEDIEVAL	0.2	NA
POTATO RES	2.3	Q1
POULT SCI	3.8	Q1
POVERTY PUBLIC POLICY	1	Q3
POWDER DIFFR	0.3	Q4
POWDER TECHNOL	4.5	Q2
PPAR RES	3.5	Q2
PRACT GASTROENTEROL	0.3	Q4
PRACT LAB MED	1.7	Q3
PRACT NEUROL	2.4	Q2
PRACT RADIAT ONCOL	3.4	Q1
PRAGMAT OBS RES	2.3	Q2
PRAMANA	1.9	Q2
PRAX KINDERPSYCHOL KINDERPSYCHIATR	0.4	Q4
PRECAMBRIAN RES	3.2	Q2
PRECIS AGRIC	5.4	Q1
PRECIS CLIN MED	5.1	Q1
PRECIS ENG	3.5	Q3
PREGNANCY HYPERTENS	2.5	Q2
PREHOSP DISASTER MED	2.1	Q2
PREHOSP EMERG CARE	2.1	Q3
PRENAT DIAGN	2.7	Q2
PREP BIOCHEM BIOTECHNOL	2	Q3
PRES STUD Q	1.1	Q3
PRESENCE (CAMB)	0.7	Q4
PRESLIA	4.4	Q1
PRESSE MED	3.2	Q1
PREV CHRONIC DIS	4.4	Q1
PREV MED	4.3	Q1
PREV MED REP	2.4	Q2
PREV NUTR FOOD SCI	1.6	Q4
PREV SCH FAIL	0.8	Q3
PREV SCI	3	Q2
PREV VET MED	2.2	Q1
PRIM CARE	2.5	Q2
PRIM CARE DIABETES	2.6	Q1
PRIM HEALTH CARE RES DEV	1.6	Q3
PRIMATES	1.3	Q2
PRION	1.9	Q4
PRISON J	0.9	Q3
PRO INST MECH ENG PART J J ENG TRIBOL	1.6	Q3
PROBAB ENG INF SCI	0.7	Q3
PROBAB THEORY RELAT FIELDS	1.5	Q2
PROBAB UNCERTAIN QUANT RISK	1	Q3
PROBAT J	1.5	Q2
PROBIOTICS ANTIMICROB PROTEINS	4.4	Q2
PROC ACAD NAT SCI PHILA	0.5	Q4
PROC ACM COMPUT GRAPH INTERACT TECH	1.4	Q3
PROC ACM INTERACT MOB WEARABLE UBIQUITOUS TECHNOL	3.6	Q2
PROC ACM MEAS ANAL COMPUT SYST	2.1	Q3
PROC ACM PROGRAM LANG	2.2	Q2
PROC AM MATH SOC	0.8	Q3
PROC AM THORAC SOC	6.8	Q1
PROC BIOL SCI	3.8	Q1
PROC COMBUST INST	5.3	Q1
PROC ENTOMOL SOC WASH	0.4	Q4
PROC IEEE INST ELECTR ELECTRON ENG	23.2	Q1
PROC INST CIV ENG URBAN DES PLAN	1.5	Q3
PROC INST MECH ENG B J ENG MANUF	1.9	Q3
PROC INST MECH ENG C J MECH ENG SCI	1.8	Q3
PROC INST MECH ENG D J AUTOMOB ENG	1.5	Q3
PROC INST MECH ENG E J PROCESS MECH ENG	2.3	Q2
PROC INST MECH ENG F J RAIL RAPID TRANSIT	1.7	Q3
PROC INST MECH ENG H	1.7	Q3
PROC INST MECH ENG O J RISK RELIAB	1.7	Q3
PROC INST MECH ENG P J SPORT ENG TECHNOL	1.1	Q3
PROC INST MECH ENG PART I J SYST CONTROL ENG	1.4	Q4
PROC JPN ACAD SER B PHYS BIOL SCI	4.4	Q1
PROC LOND MATH SOC	1.5	Q1
PROC MATH PHYS ENG SCI	2.9	Q1
PROC NATL ACAD SCI U S A	9.4	Q1
PROC NUTR SOC	7.6	Q1
PROC R IR ACAD C ARCHAEOL CELT STUD HIST LINGUIST LIT	0.3	NA
PROCEEDINGS VLDB ENDOWMENT	2.6	Q2
PROCESS BIOCHEM	3.7	Q2
PROCESS SAF ENVIRON PROT	6.9	Q1
PROCESSES (BASEL)	2.8	Q2
PROD MANUF RES	1.9	Q3
PROD OPER MANAG	4.8	Q1
PROF CASE MANAG	0.8	Q4
PROF GEOGR	1.5	Q2
PROF PSYCHOL RES PR	1.5	Q3
PROG ADDIT MANUF	4.4	Q2
PROG BIOMATER	4.4	Q2
PROG BIOMED ENG (BRISTOL)	5	Q1
PROG BIOPHYS MOL BIOL	3.2	Q2
PROG CARDIOVASC DIS	5.6	Q1
PROG COMMUNITY HEALTH PARTNERSH	0.8	Q4
PROG DEV STUD	1.7	Q3
PROG DISASTER SCI	2.6	Q2
PROG EARTH PLANET SCI	3.5	Q1
PROG ELECTROMAGN RES M PIER M	0.7	Q4
PROG ENERGY COMBUST SCI	32	Q1
PROG HUM GEOGR	6.3	Q1
PROG LIPID RES	14	Q1
PROG MATER SCI	33.6	Q1
PROG NAT SCI	4.8	Q2
PROG NEUROBIOL	6.7	Q1
PROG NEUROPSYCHOPHARMACOL	5.3	Q1
PROG NEUROPSYCHOPHARMACOL BIOL PSYCHIATRY	5.3	Q1
PROG NUCL MAGN RESON SPECTROSC	7.3	Q1
PROG OCEANOGR	3.8	Q1
PROG ORG COAT	6.5	Q1
PROG ORTHOD	3.5	Q1
PROG PALLIAT CARE	0.9	Q4
PROG PART NUCL PHYS	14.5	Q1
PROG PEDIATR CARDIOL	0.6	Q4
PROG PHOTOVOLT	8	Q1
PROG PHYS GEOGR	3	Q2
PROG PLANN	5	Q1
PROG POLYM SCI	26	Q1
PROG QUANTUM ELECTRON	7.4	Q1
PROG RETIN EYE RES	18.6	Q1
PROG SURF SCI	8.7	Q1
PROG TRANSPLANT	0.6	Q4
PROG UROL	0.8	Q4
PROJECTIONS (N Y)	1.2	NA
PROSTAGLANDINS LEUKOT ESSENT FATTY ACIDS	2.9	Q3
PROSTAGLANDINS OTHER LIPID MEDIAT	2.5	Q3
PROSTATE	2.6	Q2
PROSTATE CANCER	2.3	Q3
PROSTATE CANCER PROSTATIC DIS	5.1	Q1
PROSTATE INT	2.7	Q2
PROSTHET ORTHOT INT	0.8	Q4
PROTEIN CELL	13.6	Q1
PROTEIN ENG DES SEL	2.6	Q3
PROTEIN EXPR PURIF	1.4	Q4
PROTEIN J	1.9	Q4
PROTEIN PEPT LETT	1	Q4
PROTEIN SCI	4.5	Q1
PROTEINS	3.2	Q2
PROTEOME SCI	2.1	Q3
PROTEOMES	4	Q2
PROTEOMICS	3.4	Q2
PROTEOMICS CLIN APPL	2.1	Q3
PROTIST	1.9	Q4
PROTOPLASMA	2.5	Q2
PRX QUANTUM	9.3	Q1
PRZ GASTROENTEROL	1.7	Q3
PRZ MENOPAUZALNY	2.5	Q2
PRZEGL DERMATOL	0.5	Q4
PS POLIT SCI POLIT	2.2	Q2
PSICOL CONDUCTUAL	0.7	Q4
PSICOL EDUC (MADR)	1.7	Q2
PSICOL REFLEX CRIT	1.5	Q3
PSICOL SOC (BOLOGNA)	0.5	Q4
PSICOLOGICA (VALENCIA)	0.8	Q4
PSICOTHEMA	3.2	Q1
PSIKHOLOG ZH	0.5	Q4
PSORIASIS (AUCKL)	5.2	Q1
PSYCH J	1.3	Q3
PSYCHE (CAMB MASS)	1.6	Q2
PSYCHE (STUTTG)	0.2	Q4
PSYCHIATR ANN	0.2	Q4
PSYCHIATR CLIN NORTH AM	1.8	Q3
PSYCHIATR ENFANT	0.1	Q4
PSYCHIATR GENET	1.5	Q4
PSYCHIATR POL	0.9	Q4
PSYCHIATR PRAX	1.1	Q4
PSYCHIATR PSYCHOL LAW	1.4	Q3
PSYCHIATR Q	2.7	Q2
PSYCHIATR REHABIL J	1.8	Q2
PSYCHIATR SERV	3.3	Q1
PSYCHIATRY	2.7	Q2
PSYCHIATRY CLIN NEUROSCI	5	Q1
PSYCHIATRY CLIN PSYCHOPHARMACOL	0.5	Q4
PSYCHIATRY INT (BASEL)	1.2	Q4
PSYCHIATRY INVESTIG	1.8	Q3
PSYCHIATRY RES	4.2	Q1
PSYCHIATRY RES NEUROIMAGING	2.1	Q3
PSYCHOANAL DIALOGUES	0.6	Q2
PSYCHOANAL HIST	0.3	Q4
PSYCHOANAL INQ	0.4	Q3
PSYCHOANAL PSYCHOL	1	Q1
PSYCHOANAL PSYCHOTHER	1.2	Q1
PSYCHOANAL Q	0.7	Q2
PSYCHOANAL SELF CONTEXT	0.5	Q2
PSYCHOANAL STUDY CHILD	0.4	Q3
PSYCHODYN PRACT	0.3	Q4
PSYCHOGERIATRICS	1.7	Q3
PSYCHOL ADDICT BEHAV	3.2	Q1
PSYCHOL AESTHET CREAT ARTS	2.7	Q2
PSYCHOL AGING	3.7	Q1
PSYCHOL ASSESS	3.3	Q1
PSYCHOL BELG	2.7	Q1
PSYCHOL BULL	17.3	Q1
PSYCHOL CONSCIOUS (WASH D C)	1.4	Q4
PSYCHOL CRIME LAW	1.1	Q3
PSYCHOL DEV SOC J	0.9	Q3
PSYCHOL HEALTH	2.4	Q2
PSYCHOL HEALTH MED	2.3	Q2
PSYCHOL INJ LAW	2.7	Q2
PSYCHOL INQ	7.2	Q1
PSYCHOL LEARN TEACH	1.9	Q2
PSYCHOL MARK	8.9	Q1
PSYCHOL MED	5.9	Q1
PSYCHOL MEN MASC	2.7	Q2
PSYCHOL METHODS	7.6	Q1
PSYCHOL MUSIC	1.6	Q3
PSYCHOL PSYCHOTHER	2.6	Q2
PSYCHOL REP	1.7	Q2
PSYCHOL RES	2.2	Q2
PSYCHOL RES BEHAV MANAG	2.8	Q1
PSYCHOL REV	5.1	Q1
PSYCHOL RUNDSCH	1.4	Q3
PSYCHOL RUSS	1.1	Q3
PSYCHOL SCH	1.8	Q3
PSYCHOL SCI	4.8	Q1
PSYCHOL SCI PUBLIC INTEREST	18.2	Q1
PSYCHOL SERV	1.9	Q3
PSYCHOL SEX	2.4	Q2
PSYCHOL SEX ORIENTAT GEND DIVERS	3.6	Q1
PSYCHOL SPORT EXERC	3.1	Q1
PSYCHOL STUD (MYSORE)	1.4	Q3
PSYCHOL TRAUMA	2.7	Q2
PSYCHOL VIOLENCE	2.4	Q2
PSYCHOL WOMEN Q	2.5	Q1
PSYCHOLOG RELIG SPIRITUAL	2.2	NA
PSYCHOLOGIA	0.5	Q4
PSYCHOMETRIKA	2.9	Q1
PSYCHOMUSICOLOGY	0.6	Q4
PSYCHON BULL REV	3.2	Q1
PSYCHONEUROENDOCRINOLOGY	3.4	Q2
PSYCHOONCOLOGY	3.3	Q1
PSYCHOPATHOLOGY	1.9	Q3
PSYCHOPHARMACOLOGY (BERL)	3.5	Q2
PSYCHOPHYSIOLOGY	2.9	Q1
PSYCHOSIS	1.2	Q3
PSYCHOSOC INTERV	3.6	Q1
PSYCHOSOM MED	2.9	Q1
PSYCHOTHER PSYCHOSOM	16.3	Q1
PSYCHOTHER PSYCHOSOM MED PSYCHOL	0.7	Q4
PSYCHOTHER RES	2.6	Q2
PSYCHOTHERAPY (CHIC)	2.6	Q2
PTERIDINES	0.5	Q4
PUBL ASTRON SOC AUST	4.5	Q1
PUBL ASTRON SOC PAC	3.3	Q2
PUBLIC ADM	4.3	Q1
PUBLIC ADM DEV	2.6	Q2
PUBLIC ADM REV	6.1	Q1
PUBLIC FINANCE REV	0.5	Q4
PUBLIC HEALTH	3.9	Q1
PUBLIC HEALTH ACTION	1.3	Q4
PUBLIC HEALTH ETHICS	1.4	Q3
PUBLIC HEALTH GENOMICS	1.3	Q4
PUBLIC HEALTH NURS	1.7	Q3
PUBLIC HEALTH NUTR	3	Q2
PUBLIC HEALTH PRACT (OXF)	2.2	Q2
PUBLIC HEALTH REP	3	Q2
PUBLIC HEALTH RES PRACT	2.5	Q2
PUBLIC HEALTH REV	3.5	Q1
PUBLIC HIST	0.2	Q2
PUBLIC MANAG REV	5	Q1
