abb	pubmed_journal	pubmed_issn	pubmed_eissn	Publisher	journal_if	IF_2020	IF_2021	IF_2022	IF_2023	IF_2024	q_2020	q_2021	q_2022	q_2023	q_2024
ENVIRON SCI ATMOS	Environmental science: atmospheres		2634-3606	ROYAL SOC CHEMISTRY	ENVIRONMENTAL SCIENCE-ATMOSPHERES			3.4	2.8	3.5				Q3	Q2
FEMS MICROBES	FEMS microbes		2633-6685	OXFORD UNIV PRESS	FEMS MICROBES					4.0					Q2
RENEW SUSTAIN ENERGY REV	Renewable & sustainable energy reviews	1364-0321	1879-0690	PERGAMON-ELSEVIER SCIENCE LTD	RENEWABLE & SUSTAINABLE ENERGY REVIEWS	14.982	16.799	15.9	16.3	16.3	Q1	Q1	Q1	Q1	Q1
CURR REV CLIN EXP PHARMACOL	Current reviews in clinical and experimental pharmacology	2772-4328	2772-4336	BENTHAM SCIENCE PUBL LTD	CURRENT REVIEWS IN CLINICAL AND EXPERIMENTAL PHARMACOLOGY			1.1	1.3	0.9				Q4	Q4
FRONT ORAL HEALTH	Frontiers in oral health		2673-4842	FRONTIERS MEDIA SA	FRONTIERS IN ORAL HEALTH				3.0	3.1				Q1	Q1
QUAL RES J	Qualitative research journal	1443-9883	1448-0980	EMERALD GROUP PUBLISHING LTD	QUALITATIVE RESEARCH JOURNAL			1.2	0.8	1.4				Q3	Q2
FRONT BIOINFORM	Frontiers in bioinformatics		2673-7647	FRONTIERS MEDIA SA	FRONTIERS IN BIOINFORMATICS				2.8	3.9				Q2	Q1
FOUND DATA SCI	Foundations of data science (Springfield, Mo.)		2639-8001	AMER INST MATHEMATICAL SCIENCES-AIMS	FOUNDATIONS OF DATA SCIENCE			2.3	1.7	1.4				Q1	Q2
J PORT LINGUIST	Journal of Portuguese linguistics	1645-4537	2397-5563		JOURNAL OF PORTUGUESE LINGUISTICS			0.2	0.2						
WIRES MECH DIS	WIREs mechanisms of disease		2692-9368	WILEY	WIRES MECHANISMS OF DISEASE			3.1	4.6	4.9			Q3	Q2	Q1
FRONT ALLERGY	Frontiers in allergy	2673-6101	2673-6101	FRONTIERS MEDIA SA	FRONTIERS IN ALLERGY				3.3	3.1				Q2	Q2
WATER ECON POLICY	Water economics and policy	2382-624X	2382-6258	WORLD SCIENTIFIC PUBL CO PTE LTD	WATER ECONOMICS AND POLICY	1.133	1.333	1.1	1.0	1.3	Q4	Q3	Q4	Q3	Q3
J CLIM CHANG HEALTH	The journal of climate change and health		2667-2782	ELSEVIER	JOURNAL OF CLIMATE CHANGE AND HEALTH					3.6					Q1
INT J ELECTROCHEM	International journal of electrochemistry	2090-3529	2090-3537	WILEY	INTERNATIONAL JOURNAL OF ELECTROCHEMISTRY			1.8	2.3	2.0				Q3	Q3
AGRIC RES	Agricultural research (New Delhi, India)	2249-720X	2249-7218	SPRINGER INDIA	AGRICULTURAL RESEARCH			1.4	1.4	1.1				Q3	Q3
WEARABLE TECHNOL	Wearable technologies		2631-7176	CAMBRIDGE UNIV PRESS	WEARABLE TECHNOLOGIES				3.4	2.8				Q1	Q1
INT MATER REV	International materials reviews	0950-6608	1743-2804	SAGE PUBLICATIONS INC	INTERNATIONAL MATERIALS REVIEWS	19.559	15.75	16.1	16.8	15.5	Q1	Q1	Q1	Q1	Q1
STRATEG MANAG J	Strategic management journal	0143-2095	0143-2095	WILEY	STRATEGIC MANAGEMENT JOURNAL	8.641	7.815	8.3	6.5	7.2	Q1	Q1	Q1	Q1	Q1
BIOCHAR	Biochar	2524-7972	2524-7867	SPRINGER SINGAPORE PTE LTD	BIOCHAR		11.452	12.7	13.1	13.5		Q1	Q1	Q1	Q1
FINANC COUNS PLAN	Financial counseling and planning : the journal of the Association for Financial Counseling and Planning Education	1052-3073	1947-7910	SPRINGER PUBLISHING CO	JOURNAL OF FINANCIAL COUNSELING AND PLANNING			1.8	2.0	1.9				Q2	Q2
ACTA CARSOLOGICA	Acta carsologica = Krasoslovni zbornik	0583-6050	1580-2612	KARST RESEARCH INST ZRC SAZU	ACTA CARSOLOGICA	0.844	0.921	0.7	1.0	1.1	Q4	Q4	Q4	Q4	Q4
FRONT REPROD HEALTH	Frontiers in reproductive health	2673-3153	2673-3153	FRONTIERS MEDIA SA	FRONTIERS IN REPRODUCTIVE HEALTH				2.3	2.9				Q2	Q2
LIVERS	Livers		2673-4389	MDPI	LIVERS					2.4					Q3
VERHALTENSTHERAPIE	Verhaltenstherapie	1016-6262	1423-0402	KARGER	VERHALTENSTHERAPIE	0.905	1.186	0.6	0.7	1.2	Q4	Q4	Q4	Q4	Q3
OPHTHALMOL SCI	Ophthalmology science		2666-9145	ELSEVIER	OPHTHALMOLOGY SCIENCE				3.2	4.6				Q1	Q1
CURR PROBL CANCER CASE REP	Current problems in cancer. Case reports		2666-6219	ELSEVIER	CURRENT PROBLEMS IN CANCER: CASE REPORTS				0.2	0.2				Q4	Q4
FRONT AGING	Frontiers in aging	2673-6217	2673-6217	FRONTIERS MEDIA SA	FRONTIERS IN AGING				3.3	4.3				Q2	Q1
J APPL AQUAC	Journal of applied aquaculture	1045-4438	1545-0805		JOURNAL OF APPLIED AQUACULTURE			1.2	1.3	0.8				Q3	Q4
INFECT PREV PRACT	Infection prevention in practice		2590-0889	ELSEVIER	INFECTION PREVENTION IN PRACTICE				1.8	1.9				Q3	Q3
AQUA (LOND)	Aqua (London, England)	2709-8028	2709-8036	IWA PUBLISHING	AQUA-WATER INFRASTRUCTURE ECOSYSTEMS AND SOCIETY			1.9	2.1	2.3			Q3	Q2	Q2
JAVNOST	Javnost (Ljubljana, Slovenia)	1318-3222	1854-8377	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	JAVNOST-THE PUBLIC	1.72	1.164	1.3	1.7	1.5	Q4	Q4	Q4	Q2	Q2
DEMOCRATIZATION	Democratization	1351-0347	1743-890X	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	DEMOCRATIZATION	3.055	3.339	3.2	3.7	2.9	Q2	Q1	Q1	Q1	Q1
HERIT SOC	Heritage & society	2159-032X	2159-0338		HERITAGE AND SOCIETY			0.9	0.8	0.8					
QUANT SCI STUD	Quantitative science studies		2641-3337	MIT PRESS	QUANTITATIVE SCIENCE STUDIES			6.4	4.1	3.5				Q1	Q1
CURR RES INSECT SCI	Current research in insect science		2666-5158	ELSEVIER	CURRENT RESEARCH IN INSECT SCIENCE				2.2	2.7				Q1	Q1
JPHYS MATER	JPhys materials		2515-7639	IOP Publishing Ltd	JOURNAL OF PHYSICS-MATERIALS		5.847	4.8	4.9	4.3		Q2	Q2	Q2	Q2
ABIOTECH	aBIOTECH	2096-6326	2662-1738	SPRINGERNATURE	ABIOTECH			3.6	4.6	5.0				Q1	Q1
LANCET REG HEALTH AM	Lancet regional health. Americas		2667-193X	ELSEVIER	LANCET REGIONAL HEALTH-AMERICAS			7.4	7.0	7.6				Q1	Q1
ACS MEAS SCI AU	ACS measurement science au		2694-250X	AMER CHEMICAL SOC	ACS MEASUREMENT SCIENCE AU				4.6	9.0				Q1	Q1
ACS BIO MED CHEM AU	ACS bio & med chem Au		2694-2437	AMER CHEMICAL SOC	ACS BIO & MED CHEM AU				3.8	4.3				Q2	Q2
WELLBEING SPACE SOC	Wellbeing, space and society		2666-5581	ELSEVIER	WELLBEING SPACE AND SOCIETY				2.4	2.2				Q2	Q2
FLUIDS (BASEL)	Fluids (Basel, Switzerland)		2311-5521	MDPI	FLUIDS			1.9	1.8	1.8				Q3	Q3
SSM MENT HEALTH	SSM. Mental health		2666-5603	ELSEVIER	SSM-MENTAL HEALTH				4.1	2.6				Q1	Q2
EUR J WORK ORGAN PSYCHOL	European journal of work and organizational psychology	1359-432X	1464-0643	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	EUROPEAN JOURNAL OF WORK AND ORGANIZATIONAL PSYCHOLOGY	3.968	4.867	4.3	4.0	3.4	Q2	Q2	Q2	Q1	Q2
ACS POLYM AU	ACS polymers Au		2694-2453	AMER CHEMICAL SOC	ACS POLYMERS AU			3.9	4.7	6.9				Q1	Q1
INTELL MED	Intelligent medicine	2096-9376	2667-1026	ELSEVIER	INTELLIGENT MEDICINE				4.4	6.9				Q1	Q1
JCOM J SCI COMMUN	JCOM, Journal of science communication		1824-2049	SCUOLA INT SUPERIORE STUDI AVANZATI-S I S S A-INT SCH ADVANCED STUDIES	JCOM-JOURNAL OF SCIENCE COMMUNICATION			1.8	2.0	1.5				Q2	Q2
JMIR INFODEMIOLOGY	JMIR infodemiology		2564-1891	JMIR PUBLICATIONS, INC	JMIR INFODEMIOLOGY				3.5	2.3				Q1	Q2
SOC SEMIOT	Social semiotics	1035-0330	1470-1219	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	SOCIAL SEMIOTICS	1.32	1.568	2.0	1.6	1.2	Q2	Q2	Q2	Q1	Q2
SOUND STUD	Sound studies : an interdisciplinary journal		2055-1959	TAYLOR & FRANCIS LTD	SOUND STUDIES			0.5	0.4	0.4					
TRANSPORTMETRICA B TRANSP DYN	Transportmetrica. B, Transport dynamics	2168-0566	2168-0582	TAYLOR & FRANCIS LTD	TRANSPORTMETRICA B-TRANSPORT DYNAMICS	3.03	3.41	2.8	3.3	3.4	Q3	Q2	Q3	Q2	Q2
PLAN THEORY PRACT	Planning theory & practice	1464-9357	1470-000X	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	PLANNING THEORY & PRACTICE	3.962	4.339	3.9	3.4	3.2	Q2	Q2	Q1	Q1	Q1
ARCH CLIN CASES	Archive of clinical cases		2360-6975	GRIGORE T POPA UNIV MEDICINE AND PHARMACY IASI	ARCHIVE OF CLINICAL CASES				0.8	0.6				Q3	Q3
FRONT CLIM	Frontiers in climate		2624-9553	FRONTIERS MEDIA SA	FRONTIERS IN CLIMATE				3.3	4.1				Q2	Q2
J CHOICE MODEL	Journal of choice modelling		1755-5345	ELSEVIER SCI LTD	JOURNAL OF CHOICE MODELLING	3.091	4.164	2.4	2.8	2.4	Q1	Q1	Q2	Q1	Q2
NANO SEL	Nano select : open access		2688-4011	WILEY	NANO SELECT					3.5					Q2
COMMUN MED (LOND)	Communications medicine		2730-664X	SPRINGERNATURE	COMMUNICATIONS MEDICINE				5.4	6.3				Q1	Q1
JCPP ADV	JCPP advances		2692-9384	WILEY	JCPP ADVANCES					3.1					Q1
EUR SOC	European societies	1461-6696	1469-8307	MIT PRESS	EUROPEAN SOCIETIES	2.923	5.512	8.1	2.3	2.2	Q2	Q1	Q1	Q2	Q1
J MASS SPECTROM ADV CLIN LAB	Journal of mass spectrometry and advances in the clinical lab	2667-1468	2667-145X	ELSEVIER	JOURNAL OF MASS SPECTROMETRY AND ADVANCES IN THE CLINICAL LAB			2.2	3.1	3.4			Q3	Q2	Q2
TECHNOL MIND BEHAV	Technology, mind, and behavior		2689-0208	AMER PSYCHOLOGICAL ASSOC	TECHNOLOGY, MIND, AND BEHAVIOR					3.2					Q1
IEEE TRANS LEARN TECHNOL	IEEE transactions on learning technologies		1939-1382	IEEE COMPUTER SOC	IEEE TRANSACTIONS ON LEARNING TECHNOLOGIES	3.72	4.433	3.7	2.9	4.9	Q1	Q1	Q1	Q1	Q1
BIOPHYS REP (N Y)	Biophysical reports		2667-0747	ELSEVIER	BIOPHYSICAL REPORTS				2.4	2.7				Q3	Q2
METAB TARGET ORGAN DAMAGE	Metabolism and target organ damage		2769-6375	OAE PUBLISHING INC	METABOLISM AND TARGET ORGAN DAMAGE					3.9					Q2
INT J SURG OPEN	International journal of surgery open		2405-8572		INTERNATIONAL JOURNAL OF SURGERY OPEN			1.0	0.8	0.8				Q4	Q4
ANTIMICROB STEWARD HEALTHC EPIDEMIOL	Antimicrobial stewardship & healthcare epidemiology : ASHE		2732-494X	CAMBRIDGE UNIV PRESS	ANTIMICROBIAL STEWARDSHIP & HEALTHCARE EPIDEMIOLOGY					1.8					Q3
EXPLOR RES CLIN SOC PHARM	Exploratory research in clinical and social pharmacy		2667-2766	ELSEVIER	EXPLORATORY RESEARCH IN CLINICAL AND SOCIAL PHARMACY				1.8	1.8				Q3	Q3
FRONT FUNGAL BIOL	Frontiers in fungal biology		2673-6128	FRONTIERS MEDIA SA	FRONTIERS IN FUNGAL BIOLOGY				2.1	3.8				Q3	Q2
J COSMOL ASTROPART PHYS	Journal of cosmology and astroparticle physics		1475-7516	IOP Publishing Ltd	JOURNAL OF COSMOLOGY AND ASTROPARTICLE PHYSICS	5.839	7.28	6.4	5.3	5.9	Q1	Q1	Q1	Q1	Q1
OBESITIES	Obesities		2673-4168	MDPI	OBESITIES					1.3					Q4
HIGH EDUC POLICY	Higher education policy	0952-8733	1740-3863	PALGRAVE MACMILLAN LTD	HIGHER EDUCATION POLICY	2.629	1.76	1.6	1.7	2.4	Q2	Q3	Q4	Q2	Q1
ASLIB J INF MANAG	Aslib journal of information management	2050-3806	2050-3814	EMERALD GROUP PUBLISHING LTD	ASLIB JOURNAL OF INFORMATION MANAGEMENT	1.903	1.935	2.6	2.4	3.1	Q3	Q3	Q3	Q2	Q1
CLIN PSYCHOL EUR	Clinical psychology in Europe		2625-3410	Leibniz Institute Psychology	CLINICAL PSYCHOLOGY IN EUROPE					2.4					Q2
CLIN TRANSL DISCOV	Clinical and translational discovery		2768-0622	WILEY	CLINICAL AND TRANSLATIONAL DISCOVERY					1.9					Q3
SIAM/ASA J UNCERTAIN QUANTIF	SIAM/ASA journal on uncertainty quantification		2166-2525	SIAM PUBLICATIONS	SIAM-ASA JOURNAL ON UNCERTAINTY QUANTIFICATION	2.179	2.089	2.0	2.1	1.9	Q2	Q2	Q2	Q2	Q2
FRONT CLIN DIABETES HEALTHC	Frontiers in clinical diabetes and healthcare		2673-6616	FRONTIERS MEDIA SA	FRONTIERS IN CLINICAL DIABETES AND HEALTHCARE					2.2					Q3
ANN BREAST SURG	Annals of breast surgery : an open access journal to bridge breast surgeons across the world		2616-2776		ANNALS OF BREAST SURGERY					0.9					Q3
PROC LOND MATH SOC	Proceedings of the London Mathematical Society	0024-6115	1460-244X	WILEY	PROCEEDINGS OF THE LONDON MATHEMATICAL SOCIETY	1.303	1.649	1.8	1.5	1.6	Q2	Q1	Q1	Q1	Q1
PROC INST MECH ENG E J PROCESS MECH ENG	Proceedings of the Institution of Mechanical Engineers. Part E, Journal of process mechanical engineering	0954-4089	2041-3009	SAGE PUBLICATIONS LTD	PROCEEDINGS OF THE INSTITUTION OF MECHANICAL ENGINEERS PART E-JOURNAL OF PROCESS MECHANICAL ENGINEERING	1.62	1.822	2.4	2.3	2.2	Q3	Q3	Q3	Q2	Q2
CHILD PAST	Childhood in the past	1758-5716	2040-8528	TAYLOR & FRANCIS LTD	CHILDHOOD IN THE PAST				0.8	0.5				Q1	Q1
EUR POLICY ANAL	European policy analysis		2380-6567	WILEY	EUROPEAN POLICY ANALYSIS			5.0	2.7	2.9				Q1	Q1
SYST SCI CONTROL ENG	Systems science & control engineering		2164-2583	TAYLOR & FRANCIS LTD	SYSTEMS SCIENCE & CONTROL ENGINEERING			4.1	3.2	4.4				Q2	Q2
ATHEROSCLER PLUS	Atherosclerosis plus	2667-0909	2667-0895	ELSEVIER	ATHEROSCLEROSIS PLUS			1.6	1.4	2.1			Q4	Q3	Q3
CANCER RES COMMUN	Cancer research communications		2767-9764	AMER ASSOC CANCER RESEARCH	CANCER RESEARCH COMMUNICATIONS				2.0	3.3				Q3	Q2
J ENERGY CHEM	Journal of energy chemistry	2095-4956	2096-885X	ELSEVIER	JOURNAL OF ENERGY CHEMISTRY	9.676	13.599	13.1	14.0	14.9	Q1	Q1	Q1	Q1	Q1
INT J EVID PROOF	The international journal of evidence & proof	1365-7127	1740-5572		INTERNATIONAL JOURNAL OF EVIDENCE & PROOF		1.037	1.5	0.7	0.6		Q3	Q2	Q2	Q2
INT J GAME BASED LEARN	International journal of game-based learning	2155-6849	2155-6857	IGI GLOBAL	INTERNATIONAL JOURNAL OF GAME-BASED LEARNING			1.0	1.4	1.3				Q2	Q2
POLICING (OXF)	Policing (Oxford, England)	1752-4512	1752-4520	OXFORD UNIV PRESS	POLICING-A JOURNAL OF POLICY AND PRACTICE	3.014	3.0	1.8	1.3	1.6	Q2	Q1	Q2	Q3	Q2
BIOINFORM ADV	Bioinformatics advances		2635-0041	OXFORD UNIV PRESS	BIOINFORMATICS ADVANCES				2.4	2.8				Q2	Q2
ACS FOOD SCI TECHNOL	ACS food science & technology		2692-1944	AMER CHEMICAL SOC	ACS FOOD SCIENCE & TECHNOLOGY			2.3	2.6	2.8				Q2	Q3
INT J CARDIOL CARDIOVASC RISK PREV	International journal of cardiology. Cardiovascular risk and prevention		2772-4875	ELSEVIER	INTERNATIONAL JOURNAL OF CARDIOLOGY CARDIOVASCULAR RISK AND PREVENTION			2.3	1.9	2.1				Q3	Q3
CENT EAST EUR MIGR REV	Central and Eastern European migration review		2300-1682	CENTRE MIGRATION RESEARCH, UNIV WARSAW, POLISH ACADE SCIENCES	CENTRAL AND EASTERN EUROPEAN MIGRATION REVIEW			1.7	0.9	1.2				Q3	Q3
CARDIOL DISCOV	Cardiology discovery	2096-952X	2693-8499		CARDIOLOGY DISCOVERY					0.9					Q4
ACS ORG INORG AU	ACS organic & inorganic Au		2694-247X	AMER CHEMICAL SOC	ACS ORGANIC & INORGANIC AU				3.3	4.4				Q2	Q2
SAMPL THEORY SIGNAL PROCESS DATA ANAL	Sampling theory, signal processing, and data analysis	2730-5716	2730-5724	SPRINGERNATURE	SAMPLING THEORY SIGNAL PROCESSING AND DATA ANALYSIS					1.1					Q1
IEEE OPEN J ULTRASON FERROELECTR FREQ CONTROL	IEEE open journal of ultrasonics, ferroelectrics, and frequency control		2694-0884	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	IEEE OPEN JOURNAL OF ULTRASONICS, FERROELECTRICS, AND FREQUENCY CONTROL					2.9					Q1
ADV OPHTHALMOL PRACT RES	Advances in ophthalmology practice and research		2667-3762	ELSEVIER	ADVANCES IN OPHTHALMOLOGY PRACTICE AND RESEARCH					3.4					Q1
J INTEGR COMPLEMENT MED	Journal of integrative and complementary medicine	2768-3605	2768-3613	MARY ANN LIEBERT, INC	JOURNAL OF INTEGRATIVE AND COMPLEMENTARY MEDICINE				1.3	1.7				Q3	Q3
APPL SYST INNOV	Applied system innovation		2571-5577	MDPI	APPLIED SYSTEM INNOVATION			3.8	3.8	3.7				Q2	Q2
PLOS GLOB PUBLIC HEALTH	PLOS global public health		2767-3375	PUBLIC LIBRARY SCIENCE	PLOS GLOBAL PUBLIC HEALTH					2.5					Q2
COAST ENG	Coastal engineering	0378-3839	1872-7379	ELSEVIER	COASTAL ENGINEERING	4.83	5.427	4.4	4.2	4.5	Q1	Q1	Q1	Q1	Q1
COMMUN PARTIAL DIFFER EQU	Communications in partial differential equations	0360-5302	1532-4133	TAYLOR & FRANCIS INC	COMMUNICATIONS IN PARTIAL DIFFERENTIAL EQUATIONS	1.766	1.95	1.9	2.1	1.7	Q1	Q1	Q1	Q1	Q1
NAT CARDIOVASC RES	Nature cardiovascular research		2731-0590	SPRINGERNATURE	NATURE CARDIOVASCULAR RESEARCH				9.4	10.8				Q1	Q1
AUST SOC WORK	Australian social work : the journal of the Australian Association of Social Workers	0312-407X	1447-0748	ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD	AUSTRALIAN SOCIAL WORK	1.915	2.579	1.8	1.6	2.0	Q2	Q1	Q2	Q2	Q1
INT J THEOR PHYS (DORDR)	International journal of theoretical physics	0020-7748	1572-9575	SPRINGER/PLENUM PUBLISHERS	INTERNATIONAL JOURNAL OF THEORETICAL PHYSICS	1.708	1.308	1.4	1.3	1.7	Q3	Q4	Q3	Q3	Q3
ENVIRON MODEL ASSESS (DORDR)	Environmental modeling and assessment	1420-2026	1573-2967	SPRINGER	ENVIRONMENTAL MODELING & ASSESSMENT	2.333	2.016	2.4	2.7	2.6	Q3	Q4	Q3	Q3	Q3
GLASS STRUCT ENG	Glass structures & engineering	2363-5142	2363-5150	SPRINGER INT PUBL AG	GLASS STRUCTURES & ENGINEERING			1.9	1.5	1.5				Q3	Q3
SATELL NAVIG	Satellite navigation	2662-9291	2662-1363	SPRINGERNATURE	SATELLITE NAVIGATION			11.2	9.0	10.1				Q1	Q1
EARTH SYST ENVIRON	Earth systems and environment	2509-9426	2509-9434	SPRINGER INT PUBL AG	EARTH SYSTEMS AND ENVIRONMENT			7.2	5.3	4.7				Q1	Q1
J SOC ECON DEV	Journal of social and economic development	0972-5792	2199-6873	SPRINGER INDIA	JOURNAL OF SOCIAL AND ECONOMIC DEVELOPMENT			1.1	1.1	1.0				Q3	Q3
GIANT (OXF)	Giant (Oxford, England)		2666-5425	ELSEVIER	GIANT			7.0	5.4	4.9				Q1	Q1
J TECH WRIT COMMUN	Journal of technical writing and communication	0047-2816	1541-3780	SAGE PUBLICATIONS INC	JOURNAL OF TECHNICAL WRITING AND COMMUNICATION					1.4					Q2
VIEW (BEIJING)	View (Beijing, China)	2688-3988	2688-268X	WILEY	VIEW			8.6	9.7	8.5				Q1	Q1
FRONT ANIM SCI	Frontiers in animal science		2673-6225	FRONTIERS MEDIA SA	FRONTIERS IN ANIMAL SCIENCE				2.1	2.4				Q1	Q1
MOL BIOMED	Molecular biomedicine		2662-8651	SPRINGERNATURE	MOLECULAR BIOMEDICINE			4.0	6.3	10.1				Q1	Q1
FINANC MARK PORTF MANG	Financial markets and portfolio management	1934-4554	2373-8529	SPRINGER	FINANCIAL MARKETS AND PORTFOLIO MANAGEMENT			1.9	1.5	1.8				Q3	Q3
J FIXED POINT THEORY APPL	Journal of fixed point theory and Its applications	1661-7738	1661-7746	SPRINGER BASEL AG	JOURNAL OF FIXED POINT THEORY AND APPLICATIONS	2.11	2.0	1.8	1.4	1.1	Q1	Q1	Q1	Q1	Q1
INF COMPUT SECUR	Information and computer security	2056-4961	2056-497X	EMERALD GROUP PUBLISHING LTD	INFORMATION AND COMPUTER SECURITY			1.4	1.6	1.8				Q3	Q3
STRESS BIOL	Stress biology		2731-0450	SPRINGERNATURE	STRESS BIOLOGY					5.8					Q1
APPL INTELL (DORDR)	Applied intelligence (Dordrecht, Netherlands)	0924-669X	1573-7497	SPRINGER	APPLIED INTELLIGENCE	5.086	5.019	5.3	3.4	3.5	Q2	Q2	Q2	Q2	Q2
COMPUT URBAN SCI	Computational urban science		2730-6852	SPRINGERNATURE	COMPUTATIONAL URBAN SCIENCE				2.6	3.2				Q2	Q2
BULL MALAYS MATH SCI SOC	Bulletin of the Malaysian Mathematical Sciences Society	0126-6705	2180-4206	SPRINGERNATURE	BULLETIN OF THE MALAYSIAN MATHEMATICAL SCIENCES SOCIETY	1.554	1.397	1.2	1.0	1.2	Q1	Q1	Q2	Q1	Q1
WOMEN (BASEL)	Women (Basel, Switzerland)		2673-4184	MDPI	WOMEN					1.6					Q2
ARCH SCI (DORDR)	Archival science	1389-0166	1573-7500	SPRINGER	ARCHIVAL SCIENCE			1.1	1.4	2.1				Q2	Q2
EGYPT LIVER J	Egyptian liver journal	2090-6218	2090-6226		EGYPTIAN LIVER JOURNAL			0.8	0.8	0.7				Q4	Q4
NAT LANG SEMANT	Natural language semantics	0925-854X	1572-865X		NATURAL LANGUAGE SEMANTICS	2.222	1.524	1.1	0.9	0.8	Q1	Q2	Q3	Q2	Q3
INT J DIGIT LIBR	International journal on digital libraries	1432-5012	1432-1300	SPRINGER	INTERNATIONAL JOURNAL ON DIGITAL LIBRARIES			1.5	1.6	1.7				Q2	Q2
VOCAT LEARN	Vocations and learning	1874-785X	1874-7868	SPRINGER	VOCATIONS AND LEARNING	1.804	1.821	2.8	1.9	1.8	Q3	Q3	Q2	Q2	Q2
CONTIN MECH THERMODYN	Continuum mechanics and thermodynamics	0935-1175	1432-0959	SPRINGER	CONTINUUM MECHANICS AND THERMODYNAMICS	3.822	3.285	2.6	1.9	2.2	Q1	Q2	Q2	Q3	Q2
AUTOMOT INNOV	Automotive innovation	2096-4250	2522-8765	SPRINGERNATURE	AUTOMOTIVE INNOVATION			6.1	4.8	5.0				Q1	Q1
MATH CONTROL SIGNAL SYST	Mathematics of control, signals, and systems : MCSS	0932-4194	1435-568X	SPRINGER LONDON LTD	MATHEMATICS OF CONTROL SIGNALS AND SYSTEMS	1.2	1.6	1.2	1.8	1.8	Q4	Q3	Q4	Q2	Q2
J PALEOLIT ARCHAEOL	Journal of paleolithic archaeology		2520-8217	SPRINGERNATURE	JOURNAL OF PALEOLITHIC ARCHAEOLOGY			3.2	1.8	2.6				Q1	Q1
INT J GEOENG	International journal of geo-engineering	2092-9196	2198-2783	SPRINGER SINGAPORE PTE LTD	INTERNATIONAL JOURNAL OF GEO-ENGINEERING			1.6	2.6	7.1				Q2	Q1
EMPIR RES VOCAT EDUC TRAIN	Empirical research in vocational education and training	1877-6337	1877-6345	SPRINGER	EMPIRICAL RESEARCH IN VOCATIONAL EDUCATION AND TRAINING			1.3	1.6	3.1				Q2	Q1
INT J EDUC TECHNOL HIGH EDUC	International journal of educational technology in higher education		2365-9440	SPRINGER	INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION	4.944	7.611	8.6	8.6	16.7	Q1	Q1	Q1	Q1	Q1
GEOTECH GEOL ENG (DORDR)	Geotechnical and geological engineering	0960-3182	1573-1529	SPRINGER	GEOTECHNICAL AND GEOLOGICAL ENGINEERING			1.7	1.7	2.0				Q3	Q3
CYBERSECUR (SINGAP)	Cybersecurity		2523-3246	SPRINGERNATURE	CYBERSECURITY			3.1	3.9	3.7				Q1	Q1
ANIM DIS	Animal diseases		2731-0442	SPRINGERNATURE	ANIMAL DISEASES					2.0					Q2
J COMP GER LINGUIST	The journal of comparative Germanic linguistics	1383-4924	1572-8552	SPRINGER	JOURNAL OF COMPARATIVE GERMANIC LINGUISTICS	0.647	0.813	0.6	0.8	0.2	Q3	Q3	Q3	Q3	Q4
CEAS SPACE J	CEAS space journal	1868-2502	1868-2510	SPRINGER WIEN	CEAS SPACE JOURNAL			1.4	1.8	1.8				Q2	Q2
CALCOLO	Calcolo	0008-0624	1126-5434	SPRINGER-VERLAG ITALIA SRL	CALCOLO	2.157	2.097	1.7	1.4	1.3	Q1	Q1	Q1	Q1	Q1
PHOTONIX	PhotoniX	2662-1991	2662-1991	SPRINGERNATURE	PHOTONIX		19.818	16.5	15.7	19.1		Q1	Q1	Q1	Q1
COMPLEX INTELL SYSTEMS	Complex & intelligent systems	2199-4536	2198-6053	SPRINGER HEIDELBERG	COMPLEX & INTELLIGENT SYSTEMS	4.927	6.7	5.8	5.0	4.6	Q2	Q1	Q2	Q1	Q2
ENVIRON SYST RES (HEIDELB)	Environmental systems research		2193-2697	SPRINGER HEIDELBERG	ENVIRONMENTAL SYSTEMS RESEARCH					3.4					Q2
CELL GENOM	Cell genomics		2666-979X	ELSEVIER	CELL GENOMICS				11.1	9.0				Q1	Q1
IEEE OPEN J SIGNAL PROCESS	IEEE open journal of signal processing		2644-1322	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	IEEE OPEN JOURNAL OF SIGNAL PROCESSING			2.8	2.9	2.7				Q2	Q2
J AFR CULT STUD	Journal of African cultural studies, 2020-	1369-6815	1469-9346		JOURNAL OF AFRICAN CULTURAL STUDIES	1.085	1.145	1.0	0.9	0.7	Q2	Q2	Q2	Q2	Q2
REV LATINOAM POBLAC	Revista latinoamericana de poblacion	2175-8581	2393-6401	ASOC LATINOAMERICANA POBLACION	REVISTA LATINOAMERICANA DE POBLACION			0.4	0.4	0.1				Q4	Q4
POLICY DES PRACT	Policy design and practice		2574-1292	TAYLOR & FRANCIS LTD	POLICY DESIGN AND PRACTICE			7.0	3.1	2.6				Q1	Q2
